Close Year,Date Stamp,Full Investigation,Number of Records (copy),Number of Records,Uniq Id
2006,5/12/17,Not Fully Investigated,1,1,829
2006,5/12/17,Not Fully Investigated,1,1,830
2006,5/12/17,Not Fully Investigated,1,1,831
2006,5/12/17,Not Fully Investigated,1,1,832
2006,5/12/17,Not Fully Investigated,1,1,834
2006,5/12/17,Not Fully Investigated,1,1,835
2006,5/12/17,Not Fully Investigated,1,1,836
2006,5/12/17,Not Fully Investigated,1,1,839
2006,5/12/17,Not Fully Investigated,1,1,840
2006,5/12/17,Not Fully Investigated,1,1,841
2006,5/12/17,Not Fully Investigated,1,1,842
2006,5/12/17,Not Fully Investigated,1,1,843
2006,5/12/17,Not Fully Investigated,1,1,844
2006,5/12/17,Not Fully Investigated,1,1,845
2006,5/12/17,Not Fully Investigated,1,1,846
2006,5/12/17,Not Fully Investigated,1,1,847
2006,5/12/17,Not Fully Investigated,1,1,849
2006,5/12/17,Not Fully Investigated,1,1,851
2006,5/12/17,Not Fully Investigated,1,1,853
2006,5/12/17,Not Fully Investigated,1,1,854
2006,5/12/17,Not Fully Investigated,1,1,856
2006,5/12/17,Not Fully Investigated,1,1,857
2006,5/12/17,Not Fully Investigated,1,1,858
2006,5/12/17,Not Fully Investigated,1,1,859
2006,5/12/17,Not Fully Investigated,1,1,860
2006,5/12/17,Not Fully Investigated,1,1,861
2006,5/12/17,Not Fully Investigated,1,1,862
2006,5/12/17,Not Fully Investigated,1,1,863
2006,5/12/17,Not Fully Investigated,1,1,865
2006,5/12/17,Not Fully Investigated,1,1,866
2006,5/12/17,Not Fully Investigated,1,1,867
2006,5/12/17,Not Fully Investigated,1,1,868
2006,5/12/17,Not Fully Investigated,1,1,870
2006,5/12/17,Not Fully Investigated,1,1,871
2006,5/12/17,Not Fully Investigated,1,1,872
2006,5/12/17,Not Fully Investigated,1,1,874
2006,5/12/17,Not Fully Investigated,1,1,875
2006,5/12/17,Not Fully Investigated,1,1,876
2006,5/12/17,Not Fully Investigated,1,1,880
2006,5/12/17,Not Fully Investigated,1,1,901
2006,5/12/17,Not Fully Investigated,1,1,906
2006,5/12/17,Not Fully Investigated,1,1,911
2006,5/12/17,Not Fully Investigated,1,1,913
2006,5/12/17,Not Fully Investigated,1,1,916
2006,5/12/17,Not Fully Investigated,1,1,917
2006,5/12/17,Not Fully Investigated,1,1,927
2006,5/12/17,Not Fully Investigated,1,1,928
2006,5/12/17,Not Fully Investigated,1,1,929
2006,5/12/17,Not Fully Investigated,1,1,931
2006,5/12/17,Not Fully Investigated,1,1,935
2006,5/12/17,Not Fully Investigated,1,1,943
2006,5/12/17,Not Fully Investigated,1,1,946
2006,5/12/17,Not Fully Investigated,1,1,954
2006,5/12/17,Not Fully Investigated,1,1,959
2006,5/12/17,Not Fully Investigated,1,1,968
2006,5/12/17,Not Fully Investigated,1,1,971
2006,5/12/17,Not Fully Investigated,1,1,972
2006,5/12/17,Not Fully Investigated,1,1,974
2006,5/12/17,Not Fully Investigated,1,1,982
2006,5/12/17,Not Fully Investigated,1,1,983
2006,5/12/17,Not Fully Investigated,1,1,989
2006,5/12/17,Not Fully Investigated,1,1,994
2006,5/12/17,Not Fully Investigated,1,1,997
2006,5/12/17,Not Fully Investigated,1,1,998
2006,5/12/17,Not Fully Investigated,1,1,999
2006,5/12/17,Not Fully Investigated,1,1,1000
2006,5/12/17,Not Fully Investigated,1,1,1001
2006,5/12/17,Not Fully Investigated,1,1,1002
2006,5/12/17,Not Fully Investigated,1,1,1003
2006,5/12/17,Not Fully Investigated,1,1,1004
2006,5/12/17,Not Fully Investigated,1,1,1005
2006,5/12/17,Not Fully Investigated,1,1,1006
2006,5/12/17,Not Fully Investigated,1,1,1008
2006,5/12/17,Not Fully Investigated,1,1,1010
2006,5/12/17,Not Fully Investigated,1,1,1011
2006,5/12/17,Not Fully Investigated,1,1,1015
2006,5/12/17,Not Fully Investigated,1,1,1019
2006,5/12/17,Not Fully Investigated,1,1,1020
2006,5/12/17,Not Fully Investigated,1,1,1021
2006,5/12/17,Not Fully Investigated,1,1,1022
2006,5/12/17,Not Fully Investigated,1,1,1023
2006,5/12/17,Not Fully Investigated,1,1,1024
2006,5/12/17,Not Fully Investigated,1,1,1026
2006,5/12/17,Not Fully Investigated,1,1,1027
2006,5/12/17,Not Fully Investigated,1,1,1028
2006,5/12/17,Not Fully Investigated,1,1,1029
2006,5/12/17,Not Fully Investigated,1,1,1033
2006,5/12/17,Not Fully Investigated,1,1,1035
2006,5/12/17,Not Fully Investigated,1,1,1036
2006,5/12/17,Not Fully Investigated,1,1,1037
2006,5/12/17,Not Fully Investigated,1,1,1038
2006,5/12/17,Not Fully Investigated,1,1,1041
2006,5/12/17,Not Fully Investigated,1,1,1042
2006,5/12/17,Not Fully Investigated,1,1,1043
2006,5/12/17,Not Fully Investigated,1,1,1044
2006,5/12/17,Not Fully Investigated,1,1,1045
2006,5/12/17,Not Fully Investigated,1,1,1046
