Boro Desc,Boro Id,CCRB Received Year,DateStamp,Number of Records,Uniq Id
Bronx,3,2006,5/12/17,1,2662
Bronx,3,2006,5/12/17,1,2672
Bronx,3,2006,5/12/17,1,2673
Bronx,3,2006,5/12/17,1,2681
Bronx,3,2006,5/12/17,1,2687
Bronx,3,2006,5/12/17,1,2688
Bronx,3,2006,5/12/17,1,2694
Bronx,3,2006,5/12/17,1,2700
Bronx,3,2006,5/12/17,1,2705
Bronx,3,2006,5/12/17,1,2715
Bronx,3,2006,5/12/17,1,2716
Bronx,3,2006,5/12/17,1,2717
Bronx,3,2006,5/12/17,1,2719
Bronx,3,2006,5/12/17,1,2740
Bronx,3,2006,5/12/17,1,2759
Bronx,3,2006,5/12/17,1,2763
Bronx,3,2006,5/12/17,1,2764
Bronx,3,2006,5/12/17,1,2765
Bronx,3,2006,5/12/17,1,2766
Bronx,3,2006,5/12/17,1,2769
Bronx,3,2006,5/12/17,1,2781
Bronx,3,2006,5/12/17,1,2787
Bronx,3,2006,5/12/17,1,2792
Bronx,3,2006,5/12/17,1,2800
Bronx,3,2006,5/12/17,1,2803
Bronx,3,2006,5/12/17,1,2804
Bronx,3,2006,5/12/17,1,2805
Bronx,3,2006,5/12/17,1,2807
Bronx,3,2006,5/12/17,1,2808
Bronx,3,2006,5/12/17,1,2810
Bronx,3,2006,5/12/17,1,2819
Bronx,3,2006,5/12/17,1,2820
Bronx,3,2006,5/12/17,1,2833
Bronx,3,2006,5/12/17,1,2838
Bronx,3,2006,5/12/17,1,2840
Bronx,3,2006,5/12/17,1,2846
Bronx,3,2006,5/12/17,1,2852
Bronx,3,2006,5/12/17,1,2856
Bronx,3,2006,5/12/17,1,2859
Bronx,3,2006,5/12/17,1,2868
Bronx,3,2006,5/12/17,1,2871
Bronx,3,2006,5/12/17,1,2873
Bronx,3,2006,5/12/17,1,2878
Bronx,3,2006,5/12/17,1,2880
Bronx,3,2006,5/12/17,1,2884
Bronx,3,2006,5/12/17,1,2885
Bronx,3,2006,5/12/17,1,2890
Bronx,3,2006,5/12/17,1,2891
Bronx,3,2006,5/12/17,1,2901
Bronx,3,2006,5/12/17,1,2903
Bronx,3,2006,5/12/17,1,2904
Bronx,3,2006,5/12/17,1,2908
Bronx,3,2006,5/12/17,1,2909
Bronx,3,2006,5/12/17,1,2914
Bronx,3,2006,5/12/17,1,2915
Bronx,3,2006,5/12/17,1,2917
Bronx,3,2006,5/12/17,1,2920
Bronx,3,2006,5/12/17,1,2935
Bronx,3,2006,5/12/17,1,2937
Bronx,3,2006,5/12/17,1,2938
Bronx,3,2006,5/12/17,1,2948
Bronx,3,2006,5/12/17,1,2949
Bronx,3,2006,5/12/17,1,2955
Bronx,3,2006,5/12/17,1,2956
Bronx,3,2006,5/12/17,1,2960
Bronx,3,2006,5/12/17,1,2975
Bronx,3,2006,5/12/17,1,2977
Bronx,3,2006,5/12/17,1,2980
Bronx,3,2006,5/12/17,1,2993
Bronx,3,2006,5/12/17,1,3000
Bronx,3,2006,5/12/17,1,3013
Bronx,3,2006,5/12/17,1,3014
Bronx,3,2006,5/12/17,1,3022
Bronx,3,2006,5/12/17,1,3028
Bronx,3,2006,5/12/17,1,3038
Bronx,3,2006,5/12/17,1,3045
Bronx,3,2006,5/12/17,1,3053
Bronx,3,2006,5/12/17,1,3063
Bronx,3,2006,5/12/17,1,3081
Bronx,3,2006,5/12/17,1,3085
Bronx,3,2006,5/12/17,1,3087
Bronx,3,2006,5/12/17,1,3091
Bronx,3,2006,5/12/17,1,3092
Bronx,3,2006,5/12/17,1,3096
Bronx,3,2006,5/12/17,1,3104
Bronx,3,2006,5/12/17,1,3112
Bronx,3,2006,5/12/17,1,3130
Bronx,3,2006,5/12/17,1,3133
Bronx,3,2006,5/12/17,1,3137
Bronx,3,2006,5/12/17,1,3153
Bronx,3,2006,5/12/17,1,3158
Bronx,3,2006,5/12/17,1,3161
Bronx,3,2006,5/12/17,1,3164
Bronx,3,2006,5/12/17,1,3165
Bronx,3,2006,5/12/17,1,3167
Bronx,3,2006,5/12/17,1,3168
Bronx,3,2006,5/12/17,1,3183
Bronx,3,2006,5/12/17,1,3198
Bronx,3,2006,5/12/17,1,3199
Bronx,3,2006,5/12/17,1,3200
Bronx,3,2006,5/12/17,1,3203
Bronx,3,2006,5/12/17,1,3204
Bronx,3,2006,5/12/17,1,3206
Bronx,3,2006,5/12/17,1,3211
Bronx,3,2006,5/12/17,1,3214
Bronx,3,2006,5/12/17,1,3215
Bronx,3,2006,5/12/17,1,3222
Bronx,3,2006,5/12/17,1,3225
Bronx,3,2006,5/12/17,1,3227
Bronx,3,2006,5/12/17,1,3229
